institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0267.pdf,45.99,17.51,62.35,53.2,7.59,Gwalior,Madhya Pradesh,37.6,100
IR-E-C-27058,Mepco Schlenk Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27058.pdf,49.72,18.31,52.51,47.18,18.86,Sivakasi,Tamil Nadu,37.52,101
IR-E-U-0507,Dayalbagh Educational Institute,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0507.pdf,61.29,7.89,52.51,53.47,8.95,Agra,Uttar Pradesh,37.51,102
IR-E-U-0516,Indian Institute of Information Technology Allahabad,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0516.pdf,42.8,15.69,68.87,44.19,16.69,Prayagraj (Allahabad),Uttar Pradesh,37.41,103
IR-E-U-0382,Punjab Technical University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0382.pdf,68.53,31.0,13.06,43.6,2.69,Kapurthala,Punjab,37.1,104
IR-E-C-36975,Government College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36975.pdf,53.25,9.94,51.64,53.9,24.15,Coimbatore,Tamil Nadu,37.1,104
IR-E-C-16626,Rajalakshmi Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16626.pdf,62.19,4.51,57.76,51.77,2.69,Chennai,Tamil Nadu,37.01,106
IR-E-U-0454,Hindustan Institute of Technology  and Science (HITS),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0454.pdf,59.79,11.96,46.62,56.11,5.21,Chennai,Tamil Nadu,36.98,107
IR-E-C-16547,Sri Sairam Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16547.pdf,57.03,6.36,58.74,58.23,3.2,Kancheepuram,Tamil Nadu,36.91,108
IR-E-C-42054,Army Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42054.pdf,54.68,2.33,64.18,62.39,6.65,Pune,Maharashtra,36.85,109
IR-E-U-0163,The Northcap University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0163.pdf,54.88,13.94,56.91,48.16,0.0,Gurgaon,Haryana,36.84,110
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0130.pdf,47.25,10.86,68.33,49.81,7.12,Gandhinagar,Gujarat,36.8,111
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0190.pdf,53.75,22.22,46.02,47.26,0.0,Solan,Himachal Pradesh,36.72,112
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18886.pdf,60.35,5.29,56.88,51.33,4.22,Nagpur,Maharashtra,36.62,113
IR-E-C-1371,New Horizon College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1371.pdf,55.94,5.26,63.07,55.65,0.55,Bengaluru,Karnataka,36.6,114
IR-E-U-0186,Jaypee University of Information Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0186.pdf,48.53,18.76,54.81,46.44,7.59,Solan,Himachal Pradesh,36.55,115
IR-E-U-0143,Maharaja Sayajirao University of Baroda,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0143.pdf,57.31,13.41,51.16,47.33,3.71,Vadodara,Gujarat,36.54,116
IR-E-U-0223,Jain University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0223.pdf,49.08,23.49,46.44,53.2,1.1,Bengluru,Karnataka,36.49,117
IR-E-U-0043,"Vignan's Foundation for Science, Technology & Research",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0043.pdf,59.21,8.03,49.36,57.2,5.21,Guntur,Andhra Pradesh,36.28,118
IR-E-U-0367,Veer Surendra Sai University of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0367.pdf,51.53,19.97,47.54,46.54,5.21,Burla,Odisha,36.13,119
IR-E-U-0175,YMCA University of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0175.pdf,60.17,6.39,55.19,47.37,1.63,Faridabad,Haryana,35.91,120
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-S-8898.pdf,53.96,3.72,59.1,64.06,1.1,Sonipat,Haryana,35.65,121
IR-E-C-6581,Pondicherry Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6581.pdf,55.46,15.73,43.96,40.61,12.79,Puducherry,Pondicherry,35.49,122
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0445.pdf,62.25,8.72,45.67,45.18,4.72,Chennai,Tamil Nadu,35.41,123
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-25622.pdf,57.82,2.01,57.52,50.22,8.5,Hyderabad,Telangana,35.32,124
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33773.pdf,53.58,7.74,59.93,46.69,2.16,Mumbai,Maharashtra,35.27,125
IR-E-C-1413,Dayananda Sagar College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1413.pdf,51.56,6.69,57.99,54.63,5.69,Bengaluru,Karnataka,35.11,126
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19667.pdf,62.78,6.38,44.97,50.33,2.16,Hyderabad,Telangana,34.99,127
IR-E-C-1352,Nitte Meenakshi Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1352.pdf,58.44,6.1,49.4,53.09,4.22,Bengaluru,Karnataka,34.97,128
IR-E-U-0774,DIT University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0774.pdf,58.78,7.54,43.77,59.09,3.71,Dehradun,Uttarakhand,34.93,129
IR-E-U-0621,National Institute of Technology Puducherry,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0621.pdf,54.57,3.41,54.45,58.82,7.12,Karaikal,Pondicherry,34.87,130
IR-E-U-0146,Nirma University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0146.pdf,53.9,10.82,50.6,46.14,7.12,Ahmedabad,Gujarat,34.85,131
IR-E-C-1412,JSS Science and Technology University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1412.pdf,55.76,3.86,54.88,51.44,8.05,Mysuru,Karnataka,34.81,132
IR-E-C-1400,N M A M Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1400.pdf,58.73,5.43,50.17,48.85,5.69,"Nitte, 
Udupi",Karnataka,34.73,133
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0535.pdf,56.16,7.55,56.28,42.16,0.0,Amethi,Uttar Pradesh,34.59,134
IR-E-C-37065,Kongu Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37065.pdf,58.13,5.76,46.86,44.25,14.79,Perundurai,Tamil Nadu,34.45,135
IR-E-U-0854,KLE Technological University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0854.pdf,56.85,8.11,48.85,49.29,1.63,Dharwad,Karnataka,34.34,136
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0384.pdf,59.28,17.63,27.04,55.09,2.69,Longowal,Punjab,34.27,137
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0938.pdf,60.56,4.32,47.57,48.17,3.71,Pune,Maharashtra,34.17,138
IR-E-C-18817,G. H. Raisoni College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18817.pdf,46.65,9.68,61.0,49.25,0.55,Nagpur,Maharashtra,34.07,139
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18254.pdf,51.75,8.58,53.65,52.42,0.0,Nagpur,Maharashtra,34.07,139
IR-E-C-19607,CVR College Of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19607.pdf,57.68,1.21,54.84,51.32,1.1,Ibrahimpatan,Telangana,33.87,141
IR-E-C-37089,Sri Ramakrishna Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37089.pdf,54.46,5.15,53.3,46.28,6.18,Coimbatore,Tamil Nadu,33.79,142
IR-E-C-19650,Vardhaman College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19650.pdf,57.23,4.18,52.41,48.49,0.0,Rangareddy,Telangana,33.75,143
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0332.pdf,41.84,24.72,48.59,39.99,0.0,Nagpur,Maharashtra,33.68,144
IR-E-U-0046,North Eastern Regional Institute of Science & Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0046.pdf,64.04,9.76,33.3,43.05,5.69,Itanagar,Arunachal Pradesh,33.67,145
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0685.pdf,42.33,8.13,63.06,53.96,5.21,Delhi,Delhi,33.67,145
IR-E-C-1345,P E S College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1345.pdf,59.25,0.71,51.11,54.45,0.0,Mandya,Karnataka,33.65,147
IR-E-C-43264,National Institute of Foundry and Forge Technology (NIFFT),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-43264.pdf,54.46,2.27,58.68,41.41,6.65,Ranchi,Jharkhand,33.57,148
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1441.pdf,49.09,12.43,41.93,66.36,0.55,Chennai,Tamil Nadu,33.55,149
IR-E-C-37028,Sona College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37028.pdf,53.05,6.12,52.87,46.82,5.21,Salem,Tamil Nadu,33.53,150
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-N-10.pdf,56.06,5.17,48.62,51.89,2.16,Mumbai,Maharashtra,33.5,151
IR-E-C-37064,Sri Krishna College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37064.pdf,51.06,4.37,58.86,46.6,3.71,Coimbatore,Tamil Nadu,33.43,152
IR-E-U-0037,Sri Venkateswara University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0037.pdf,42.43,27.73,38.0,42.67,3.71,Tirupati,Andhra Pradesh,33.29,153
IR-E-C-6202,Heritage Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6202.pdf,52.26,4.9,50.4,54.15,6.18,Kolkata,West Bengal,33.27,154
IR-E-C-16614,R. M. K. Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16614.pdf,54.27,2.25,54.24,53.21,1.1,Thiruvallur,Tamil Nadu,33.24,155
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18010.pdf,55.02,5.36,47.11,53.23,2.69,Vijayawada,Andhra Pradesh,33.13,156
IR-E-U-0592,Maulana Abul Kalam Azad University of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0592.pdf,41.49,16.75,52.96,47.42,2.69,Nadia,West Bengal,33.07,157
IR-E-U-0613,National Institute of Technology Manipur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0613.pdf,54.89,8.29,42.86,53.25,1.63,Imphal,Manipur,33.02,158
IR-E-U-0213,Alliance University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0213.pdf,47.89,1.88,63.26,53.12,1.1,Bengaluru,Karnataka,33.0,159
IR-E-C-16537,St. Josephs College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16537.pdf,53.65,6.81,52.88,42.44,0.0,Kancheepuram,Tamil Nadu,32.95,160
IR-E-C-19754,SR Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19754.pdf,62.29,1.91,31.2,62.13,12.38,Warangal,Telangana,32.95,160
IR-E-U-0604,Amity University Gwalior,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0604.pdf,56.79,1.4,54.03,46.1,0.0,Gwalior,Madhya Pradesh,32.88,162
IR-E-C-6238,Haldia Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6238.pdf,49.15,6.8,50.2,55.8,4.22,Haldia,West Bengal,32.83,163
IR-E-C-8277,Government Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-8277.pdf,57.13,2.86,49.94,45.99,2.16,Thrissur,Kerala,32.81,164
IR-E-I-1015,Vishwakarma Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1015.pdf,47.21,6.45,59.26,44.53,3.2,Pune,Maharashtra,32.72,165
IR-E-U-0864,Harcourt Butler Technical University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0864.pdf,59.15,2.31,46.82,42.34,6.65,Kanpur Nagar,Uttar Pradesh,32.69,166
IR-E-U-0564,University of Petroleum and Energy Studies,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0564.pdf,48.86,14.26,39.13,53.15,4.22,Dehradun,Uttarakhand,32.51,167
IR-E-C-11015,Walchand College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-11015.pdf,50.11,4.15,54.99,47.43,3.71,Sangli,Maharashtra,32.39,168
IR-E-C-1336,BMS Institute of Technology & Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1336.pdf,48.02,4.04,51.43,53.36,11.13,Bengaluru,Karnataka,32.36,169
IR-E-C-19706,Institute of Aeronautical Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19706.pdf,50.61,7.28,45.04,54.16,4.72,Hyderabad,Telangana,32.26,170
IR-E-C-33584,K. J. Somaiya College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33584.pdf,51.95,2.84,59.03,39.37,0.55,Mumbai,Maharashtra,32.25,171
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19534.pdf,53.11,2.72,52.44,48.87,1.1,Hyderabad,Telangana,32.24,172
IR-E-C-42242,Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42242.pdf,50.8,2.95,52.51,53.89,2.16,Pune,Maharashtra,32.23,173
IR-E-U-0169,ManavRachna International Institute of Research & Studies,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0169.pdf,51.95,4.1,51.73,49.28,1.1,Faridabad,Haryana,32.21,174
IR-E-C-1438,The National Institute of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1438.pdf,51.97,2.65,51.05,50.57,5.21,Mysore,Karnataka,32.17,175
IR-E-C-16572,Sri Venkateswara College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16572.pdf,56.18,4.91,48.74,38.31,2.16,Kancheepuram,Tamil Nadu,32.12,176
IR-E-U-0147,Pandit Deendayal Petroleum University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0147.pdf,49.08,11.97,50.34,33.8,3.2,Gandhinagar,Gujarat,32.08,177
IR-E-C-9462,"School of Engineering, Cochin University of Science and Technology",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-9462.pdf,50.08,14.19,38.55,44.77,5.69,Cochin,Kerala,32.04,178
IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-30153.pdf,52.9,2.66,47.2,56.2,2.69,Bhubaneswar,Odisha,32.0,179
IR-E-C-19747,Anurag Group of Institutions,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19747.pdf,56.55,1.44,43.97,54.98,0.55,Hyderabad,Telangana,31.74,180
IR-E-U-0373,Chitkara University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0373.pdf,48.34,7.56,47.86,53.83,0.0,Rajpura,Punjab,31.72,181
IR-E-U-0455,"Indian Institute of Information Technology, Design & Manufacturing",https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0455.pdf,35.51,7.8,57.62,53.05,18.15,Chennai,Tamil Nadu,31.63,182
IR-E-U-0739,Madan Mohan Malaviya University of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0739.pdf,47.49,15.84,44.1,35.1,2.69,Gorakhpur,Uttar Pradesh,31.6,183
IR-E-C-26929,Sree Vidyanikethan Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26929.pdf,54.06,1.24,50.93,47.58,0.0,A.Rangampet,Andhra Pradesh,31.54,184
IR-E-C-26928,JNTUA College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26928.pdf,55.12,3.96,48.19,36.84,4.72,Anantapur,Andhra Pradesh,31.52,185
IR-E-C-1398,BNM Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1398.pdf,55.66,1.11,46.87,50.8,0.0,Bengaluru,Karnataka,31.48,186
IR-E-C-26162,Vasavi College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26162.pdf,48.8,0.75,56.58,50.47,2.16,Hyderabad,Telangana,31.46,187
IR-E-C-17913,Gayatri Vidya Parishad College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-17913.pdf,54.28,1.69,45.48,48.12,6.65,Visakhapatnam,Andhra Pradesh,31.38,188
IR-E-C-27089,National Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27089.pdf,53.98,5.99,42.9,46.85,1.1,Kovilpatti,Tamil Nadu,31.36,189
IR-E-C-26905,G.Pulla Reddy Engineering College,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26905.pdf,53.11,1.15,48.27,51.6,2.69,Kurnool,Andhra Pradesh,31.35,190
IR-E-C-6192,Institute of Engineering & Management,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6192.pdf,43.74,7.8,51.73,52.96,2.16,Kolkata,West Bengal,31.33,191
IR-E-C-16476,Sri Sai Ram Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16476.pdf,48.89,2.8,54.08,47.67,2.16,Chennai,Tamil Nadu,31.32,192
IR-E-U-0129,Dharmsinh Desai University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0129.pdf,49.4,2.29,59.12,36.87,2.69,Nadiad,Gujarat,31.29,193
IR-E-U-0405,The LNM Institute of Information Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0405.pdf,41.95,12.14,53.25,43.08,0.55,Jaipur,Rajasthan,31.24,194
IR-E-U-0162,Guru Jambheshwar University of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0162.pdf,41.05,13.82,51.92,40.13,3.71,Hisar,Haryana,31.23,195
IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42227.pdf,49.69,1.66,53.63,48.5,1.63,Pune,Maharashtra,31.15,196
IR-E-C-49660,Pimpri Chinchwad College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-49660.pdf,46.11,7.36,50.73,48.76,0.55,Pune,Maharashtra,31.13,197
IR-E-C-34167,Ramrao Adik Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-34167.pdf,53.6,3.82,45.75,47.25,0.0,Navi Mumbai,Maharashtra,31.11,198
IR-E-C-48145,BVRIT Hyderabad,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-48145.pdf,49.16,0.46,53.74,52.98,1.63,Hyderabad,Telangana,31.1,199
IR-E-U-0615,National Institute of Technology Arunachal Pradesh,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0615.pdf,50.56,9.06,39.36,46.21,7.12,Itanagar,Arunachal Pradesh,31.09,200
